X Dis,Y Dis,X Vel,Y Vel
-387.1661963,687.6326525,4.11563741,-4.965082331
-382.201114,683.5170151,4.21563741,-4.925082331
-377.2760316,679.3013777,4.31563741,-4.885082331
-372.3909493,674.9857403,4.41563741,-4.845082331
-367.545867,670.5701028,4.51563741,-4.805082331
-362.7407847,666.0544654,4.61563741,-4.765082331
-357.9757023,661.438828,4.71563741,-4.725082331
-353.25062,656.7231906,4.81563741,-4.685082331
-348.5655377,651.9075532,4.91563741,-4.645082331
-343.9204553,646.9919158,5.21515022,-4.591131036
-339.3293243,641.7767656,5.51466303,-4.537179741
-334.7921446,636.2621025,5.81356741,-4.476274049
-330.3158705,630.4485351,6.111621023,-4.408439429
-325.9074311,624.3369141,6.408582574,-4.333709793
-321.5737213,617.9283315,6.704212094,-4.252127455
-317.3215938,611.2241194,6.704212094,-4.252127455
-313.0694664,604.5199073,6.704212094,-4.252127455
-308.8173389,597.8156953,6.704212094,-4.252127455
-304.5652115,591.1114832,6.704212094,-4.252127455
-300.313084,584.4072711,6.704212094,-4.252127455
-296.0609566,577.703059,6.704212094,-4.252127455
-291.8088291,570.9988469,6.704212094,-4.252127455
-287.5567016,564.2946348,6.704212094,-4.252127455
-283.3045742,557.5904227,6.704212094,-4.252127455
-279.0524467,550.8862106,6.704212094,-4.252127455
-274.8003193,544.1819985,6.704212094,-4.252127455
-270.5481918,537.4777864,6.704212094,-4.252127455
-266.2960644,530.7735743,6.704212094,-4.252127455
-262.0439369,524.0693622,6.704212094,-4.252127455
-257.7918095,517.3651501,6.704212094,-4.252127455
-253.539682,510.660938,6.704212094,-4.252127455
-249.2875546,503.9567259,6.704212094,-4.252127455
-245.0354271,497.2525138,6.704212094,-4.252127455
-240.7832996,490.5483017,6.704212094,-4.252127455
-236.5311722,483.8440897,6.704212094,-4.252127455
-232.2790447,477.1398776,6.704212094,-4.252127455
-228.0269173,470.4356655,6.704212094,-4.252127455
-223.7747898,463.7314534,6.704212094,-4.252127455
-219.5226624,457.0272413,6.704212094,-4.252127455
-215.2705349,450.3230292,6.704212094,-4.252127455
-211.0184075,443.6188171,6.704212094,-4.252127455
-206.76628,436.914605,6.704212094,-4.252127455
-202.5141525,430.2103929,6.704212094,-4.252127455
-198.2620251,423.5061808,6.704212094,-4.252127455
-194.0098976,416.8019687,6.704212094,-4.252127455
-189.7577702,410.0977566,6.704212094,-4.252127455
-185.5056427,403.3935445,6.704212094,-4.252127455
-181.2535153,396.6893324,6.704212094,-4.252127455
